,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
1,300268.SZ,佳沃股份,4,20150107,13.32,13.32,13.32,13.32,12.11,1.21,9.99,9942,13243.5698,农业综合,加速板,8.83,-9.91
8,002738.SZ,中矿资源,6,20150119,33.33,34.23,30.5,34.23,31.12,3.11,9.99,169655,560273.0343,小金属,分歧板,17.46,-1.84
15,002469.SZ,三维工程,3,20150209,19.01,20.23,18.31,20.23,18.39,1.84,10.01,435481,850628.517,建筑工程,分歧板,-6.26,-1.38
16,300364.SZ,中文在线,4,20150213,47.9,49.61,46.85,49.61,45.1,4.51,10.0,101737,495097.4421,出版业,分歧板,,
23,000626.SZ,远大控股,5,20150305,51.17,51.18,47.58,51.18,46.53,4.65,9.99,200521,1010690.813,商贸代理,分歧板,-5.06,-4.26
26,600119.SH,ST长投,3,20150313,23.0,23.28,21.51,23.28,21.16,2.12,10.02,868035,1968483.4540000001,仓储物流,分歧板,16.25,-1.16
30,300299.SZ,富春股份,4,20150326,24.8,25.05,23.51,25.05,22.77,2.28,10.01,205948,508057.7511,互联网,分歧板,-2.86,-3.99
33,603030.SH,全筑股份,5,20150402,33.46,33.46,33.46,33.46,30.42,3.04,9.99,5713,19117.07,装修装饰,加速板,,
34,603030.SH,全筑股份,6,20150403,36.81,36.81,33.46,36.81,33.46,3.35,10.01,58730,215265.486,装修装饰,分歧板,-9.11,9.21
37,600035.SH,楚天高速,6,20150415,10.2,10.45,9.6,10.45,9.5,0.95,10.0,1561904,1599091.7769999998,路桥,分歧板,4.49,-13.97
39,601766.SH,中国中车,5,20150417,35.88,35.88,35.88,35.88,32.62,3.26,9.99,389499,1397522.4119999998,运输设备,加速板,,
40,000410.SZ,*ST沈机,4,20150420,22.61,22.61,22.61,22.61,20.55,2.06,10.02,9565,21628.2738,机床制造,分歧板,,
42,000410.SZ,*ST沈机,6,20150422,27.36,27.36,25.51,27.36,24.87,2.49,10.01,680700,1857162.3336,机床制造,分歧板,4.21,2.34
47,600744.SH,华银电力,4,20150505,9.97,9.97,9.1,9.97,9.06,0.91,10.04,1600297,1559208.914,火力发电,分歧板,0.07,-6.02
52,002427.SZ,ST尤夫,7,20150529,26.78,28.36,23.2,28.36,25.78,2.58,10.01,309473,813153.9379,化纤,分歧板,6.51,4.02
56,300040.SZ,九洲集团,5,20150610,16.37,16.37,16.37,16.37,14.88,1.49,10.01,29241,47867.9263,电气设备,分歧板,10.4,5.07
57,300040.SZ,九洲集团,6,20150611,17.2,18.01,17.03,18.01,16.37,1.64,10.02,87631,153104.9042,电气设备,分歧板,,
60,600599.SH,*ST熊猫,3,20150618,40.29,40.29,40.29,40.29,36.63,3.66,9.99,1176,4741.206,多元金融,加速板,,
62,600599.SH,*ST熊猫,5,20150623,48.75,48.75,48.75,48.75,44.32,4.43,10.0,17594,85775.528,多元金融,分歧板,,
65,002569.SZ,ST步森,3,20150702,21.0,24.72,20.22,24.72,22.47,2.25,10.01,140664,319174.2252,服饰,分歧板,11.49,-8.86
66,601599.SH,鹿港文化,5,20150723,18.39,18.39,17.5,18.39,16.72,1.67,9.99,288300,529180.863,影视音像,分歧板,-4.9,3.32
73,300480.SZ,光力科技,10,20150803,85.35,85.35,85.35,85.35,77.59,7.76,10.0,3685,31457.3642,专用机械,加速板,,
76,603616.SH,韩建河山,5,20150806,44.06,44.06,37.65,44.06,40.05,4.01,10.01,281297,1204798.6940000001,其他建材,分歧板,15.79,-4.68
82,000628.SZ,高新发展,4,20150828,13.86,13.86,13.86,13.86,12.6,1.26,10.0,17208,23851.3968,园区开发,加速板,-33.41,1.01
83,002027.SZ,分众传媒,3,20150907,16.56,16.56,16.56,16.56,15.05,1.51,10.03,9127,15114.577,影视音像,加速板,,
88,002027.SZ,分众传媒,8,20150914,26.66,26.66,25.32,26.66,24.24,2.42,9.98,890814,2358501.4508,影视音像,分歧板,3.88,-10.02
90,000025.SZ,特力A,3,20150916,28.18,28.38,27.65,28.38,25.8,2.58,10.0,43466,122670.8533,汽车服务,加速板,,
92,000025.SZ,特力A,5,20150918,34.0,34.34,29.01,34.34,31.22,3.12,9.99,255874,833049.4734,汽车服务,分歧板,20.3,0.47
98,000038.SZ,深大通,5,20151012,42.2,42.5,39.8,42.5,38.64,3.86,9.99,142474,592585.6547,广告包装,分歧板,-4.48,-4.94
99,300153.SZ,科泰电源,5,20151013,13.7,13.86,13.43,13.86,12.6,1.26,10.0,220713,304506.8312,电气设备,分歧板,,
106,300459.SZ,金科文化,4,20160112,24.76,24.76,24.76,24.76,22.51,2.25,10.0,4086,10118.174,互联网,分歧板,-14.11,-0.65
110,600610.SH,ST毅达,5,20160121,13.1,14.31,12.62,14.31,13.01,1.3,9.99,637993,874571.2690000001,建筑工程,分歧板,0.71,6.92
