,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,limit_type,pro,buy_rate
1,300268.SZ,佳沃股份,4,20150107,13.32,13.32,13.32,13.32,12.11,1.21,9.99,9942,13243.5698,农业综合,加速板,8.83,-9.91
4,002738.SZ,中矿资源,2,20150113,21.46,23.38,20.61,23.38,21.25,2.13,10.02,117931,261423.7715,小金属,一般板,29.96,4.79
5,002738.SZ,中矿资源,3,20150114,24.5,25.72,24.03,25.72,23.38,2.34,10.01,96134,241820.7562,小金属,一般板,19.54,3.42
13,300399.SZ,天利科技,3,20150204,92.0,95.6,91.27,95.6,86.91,8.69,10.0,14678,138218.2928,互联网,一般板,-7.87,5.64
14,002095.SZ,生意宝,3,20150205,65.0,69.08,63.83,69.08,62.8,6.28,10.0,72125,483222.4842,互联网,一般板,-11.49,5.24
19,300364.SZ,中文在线,5,20150227,54.57,54.57,52.01,54.57,49.61,4.96,10.0,87603,475651.235,出版业,一般板,32.12,5.88
27,600119.SH,ST长投,4,20150316,23.01,25.61,23.01,25.61,23.28,2.33,10.01,546250,1330862.7140000002,仓储物流,一般板,-5.72,5.43
29,002093.SZ,国脉科技,4,20150320,12.0,12.68,11.88,12.68,11.53,1.15,9.97,904857,1121645.2142,电信运营,一般板,-3.69,5.05
31,000514.SZ,渝开发,4,20150327,9.43,9.43,9.43,9.43,8.57,0.86,10.04,11766,11095.7341,区域地产,一般板,-2.34,4.24
37,600035.SH,楚天高速,6,20150415,10.2,10.45,9.6,10.45,9.5,0.95,10.0,1561904,1599091.7769999998,路桥,分歧板,4.49,-13.97
38,600035.SH,楚天高速,7,20150416,8.99,9.52,8.98,9.52,8.65,0.87,10.06,929126,877085.725,路桥,一般板,-14.04,3.68
43,601106.SH,中国一重,6,20150423,11.0,11.62,10.81,11.62,10.56,1.06,10.04,7907714,9070044.522,工程机械,一般板,-1.69,3.27
47,600744.SH,华银电力,4,20150505,9.97,9.97,9.1,9.97,9.06,0.91,10.04,1600297,1559208.914,火力发电,分歧板,0.07,-6.02
51,002427.SZ,ST尤夫,6,20150528,25.78,25.78,25.1,25.78,23.44,2.34,9.98,85550,219870.59399999998,化纤,一般板,4.85,3.88
52,002427.SZ,ST尤夫,7,20150529,26.78,28.36,23.2,28.36,25.78,2.58,10.01,309473,813153.9379,化纤,分歧板,6.51,4.02
53,002427.SZ,ST尤夫,8,20150601,29.5,31.2,28.36,31.2,28.36,2.84,10.01,225598,683180.3017,化纤,一般板,-10.88,5.77
56,300040.SZ,九洲集团,5,20150610,16.37,16.37,16.37,16.37,14.88,1.49,10.01,29241,47867.9263,电气设备,分歧板,10.4,5.07
65,002569.SZ,ST步森,3,20150702,21.0,24.72,20.22,24.72,22.47,2.25,10.01,140664,319174.2252,服饰,分歧板,11.49,-8.86
66,601599.SH,鹿港文化,5,20150723,18.39,18.39,17.5,18.39,16.72,1.67,9.99,288300,529180.863,影视音像,分歧板,-4.9,3.32
68,300480.SZ,光力科技,5,20150727,48.0,53.0,46.0,53.0,48.18,4.82,10.0,95794,499367.6192,专用机械,一般板,28.14,-9.81
77,603616.SH,韩建河山,6,20150807,42.0,48.47,41.0,48.47,44.06,4.41,10.01,194914,879493.695,其他建材,一般板,-4.78,5.22
80,000558.SZ,莱茵体育,4,20150818,24.03,24.41,22.01,24.41,22.19,2.22,10.0,834714,2030708.3359,文教休闲,一般板,18.44,-10.0
88,002027.SZ,分众传媒,8,20150914,26.66,26.66,25.32,26.66,24.24,2.42,9.98,890814,2358501.4508,影视音像,分歧板,3.88,-10.02
93,000025.SZ,特力A,6,20150921,34.5,37.77,32.11,37.77,34.34,3.43,9.99,155224,559485.8312,汽车服务,一般板,4.39,5.0
94,000025.SZ,特力A,7,20150922,39.66,41.55,39.35,41.55,37.77,3.78,10.01,163860,672347.8156,汽车服务,一般板,3.65,4.69
95,000025.SZ,特力A,8,20150923,43.5,45.71,41.65,45.71,41.55,4.16,10.01,151175,679092.5527,汽车服务,一般板,7.69,3.65
102,300191.SZ,潜能恒信,8,20151021,36.5,37.8,35.88,37.8,34.36,3.44,10.01,214730,803937.6386,石油开采,一般板,8.22,5.61
104,300191.SZ,潜能恒信,10,20151023,45.74,45.74,44.68,45.74,41.58,4.16,10.0,146157,668062.9647,石油开采,一般板,-1.08,-9.6
112,603025.SH,大豪科技,3,20160125,37.3,39.05,36.88,39.05,35.5,3.55,10.0,59918,229290.34,IT设备,一般板,-17.85,4.23
119,002423.SZ,中粮资本,4,20160217,14.54,14.54,14.54,14.54,13.22,1.32,9.98,32498,47252.5427,多元金融,一般板,-4.29,5.23
121,002226.SZ,江南化工,4,20160223,9.89,9.89,9.89,9.89,8.99,0.9,10.01,151167,149504.6674,化工原料,一般板,-1.13,4.25
129,300222.SZ,科大智能,4,20160321,26.06,26.08,25.52,26.08,23.71,2.37,10.0,132257,344528.1032,电气设备,一般板,0.93,5.83
130,000909.SZ,数源科技,4,20160322,19.02,19.02,19.02,19.02,17.29,1.73,10.01,33575,63859.9543,综合类,一般板,3.22,5.73
136,601608.SH,中信重工,3,20160405,6.61,6.61,6.51,6.61,6.01,0.6,9.98,620597,409913.93,专用机械,一般板,-1.54,5.9
138,600671.SH,*ST目药,2,20160408,29.1,32.91,29.08,32.91,29.92,2.99,9.99,61798,195107.74800000002,中成药,一般板,-11.47,4.83
143,000829.SZ,天音控股,4,20160420,16.26,16.26,16.26,16.26,14.78,1.48,10.01,318385,517694.888,其他商业,分歧板,-19.26,4.55
150,300340.SZ,科恒股份,2,20160512,31.55,34.73,30.0,34.73,31.57,3.16,10.01,183717,598385.752,元器件,一般板,5.66,5.07
156,300503.SZ,昊志机电,2,20160530,48.3,51.3,48.3,51.3,46.64,4.66,9.99,90820,451251.7766,机械基件,一般板,10.43,3.31
165,300019.SZ,硅宝科技,3,20160629,17.2,17.2,16.9,17.2,15.64,1.56,9.97,81498,140102.6397,化工原料,一般板,-3.97,3.55
