,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,buy_price,cumsum,buy_price_rate
2,601880.SH,大连港,2,20150109,5.34,5.72,5.22,5.72,5.2,0.52,10.0,3234698,1788539.054,港口,-9.62,5.88,-9.62,2.8
3,300244.SZ,迪安诊断,2,20150112,47.0,53.15,46.6,53.15,48.32,4.83,10.0,74879,374381.3493,医疗保健,-5.74,54.0,-15.36,1.6
4,002738.SZ,中矿资源,2,20150113,21.46,23.38,20.61,23.38,21.25,2.13,10.02,117931,261423.7715,小金属,29.96,24.5,14.600000000000001,4.79
5,002738.SZ,中矿资源,3,20150114,24.5,25.72,24.03,25.72,23.38,2.34,10.01,96134,241820.7562,小金属,19.54,26.6,34.14,3.42
8,002738.SZ,中矿资源,6,20150119,33.33,34.23,30.5,34.23,31.12,3.11,9.99,169655,560273.0343,小金属,17.46,33.6,51.6,-1.84
10,300292.SZ,吴通控股,2,20150123,24.15,25.0,24.0,25.0,22.73,2.27,9.99,181354,448123.0776,软件服务,-3.47,24.79,48.13,-0.84
13,300399.SZ,天利科技,3,20150204,92.0,95.6,91.27,95.6,86.91,8.69,10.0,14678,138218.2928,互联网,-7.87,100.99,40.260000000000005,5.64
14,002095.SZ,生意宝,3,20150205,65.0,69.08,63.83,69.08,62.8,6.28,10.0,72125,483222.4842,互联网,-11.49,72.7,28.770000000000003,5.24
15,002469.SZ,三维工程,3,20150209,19.01,20.23,18.31,20.23,18.39,1.84,10.01,435481,850628.517,建筑工程,-6.26,19.95,22.510000000000005,-1.38
18,000626.SZ,远大控股,5,20150225,32.68,32.68,30.44,32.68,29.71,2.97,10.0,115824,372748.0051,商贸代理,48.41,33.0,70.92,0.98
19,300364.SZ,中文在线,5,20150227,54.57,54.57,52.01,54.57,49.61,4.96,10.0,87603,475651.235,出版业,32.12,57.78,103.03999999999999,5.88
26,600119.SH,ST长投,3,20150313,23.0,23.28,21.51,23.28,21.16,2.12,10.02,868035,1968483.4540000001,仓储物流,16.25,23.01,119.28999999999999,-1.16
27,600119.SH,ST长投,4,20150316,23.01,25.61,23.01,25.61,23.28,2.33,10.01,546250,1330862.7140000002,仓储物流,-5.72,27.0,113.57,5.43
29,002093.SZ,国脉科技,4,20150320,12.0,12.68,11.88,12.68,11.53,1.15,9.97,904857,1121645.2142,电信运营,-3.69,13.32,109.88,5.05
