,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry
0,600227.SH,圣济堂,4,20150105,6.67,6.69,6.6,6.69,6.08,0.61,10.03,292808,195411.429,化学制药
1,601918.SH,新集能源,3,20150106,6.92,6.92,6.61,6.92,6.29,0.63,10.02,3100868,2119292.994,煤炭开采
2,300268.SZ,佳沃股份,3,20150106,12.09,12.11,11.9,12.11,11.01,1.1,9.99,33640,40668.8618,农业综合
3,300268.SZ,佳沃股份,4,20150107,13.32,13.32,13.32,13.32,12.11,1.21,9.99,9942,13243.5698,农业综合
4,601216.SH,君正集团,3,20150108,12.39,12.63,12.12,12.63,11.48,1.15,10.02,230717,287253.833,化工原料
5,300085.SZ,银之杰,3,20150108,44.4,47.92,41.5,47.92,43.56,4.36,10.01,81951,366606.4558,软件服务
6,603169.SH,兰石重装,3,20150108,21.3,22.79,20.9,22.79,20.72,2.07,9.99,216785,480322.568,专用机械
7,601880.SH,大连港,2,20150109,5.34,5.72,5.22,5.72,5.2,0.52,10.0,3234698,1788539.054,港口
8,300244.SZ,迪安诊断,2,20150112,47.0,53.15,46.6,53.15,48.32,4.83,10.0,74879,374381.3493,医疗保健
9,002738.SZ,中矿资源,2,20150113,21.46,23.38,20.61,23.38,21.25,2.13,10.02,117931,261423.7715,小金属
10,002738.SZ,中矿资源,3,20150114,24.5,25.72,24.03,25.72,23.38,2.34,10.01,96134,241820.7562,小金属
11,002738.SZ,中矿资源,4,20150115,26.6,28.29,26.36,28.29,25.72,2.57,9.99,113100,312623.2696,小金属
12,002738.SZ,中矿资源,5,20150116,30.21,31.12,30.14,31.12,28.29,2.83,10.0,56305,173884.4616,小金属
13,002738.SZ,中矿资源,6,20150119,33.33,34.23,30.5,34.23,31.12,3.11,9.99,169655,560273.0343,小金属
14,002738.SZ,中矿资源,7,20150120,33.6,37.65,33.58,37.65,34.23,3.42,9.99,94650,344109.9416,小金属
15,300411.SZ,金盾股份,4,20150121,39.91,39.91,38.08,39.91,36.28,3.63,10.01,99515,395067.9358,专用机械
16,002095.SZ,生意宝,4,20150121,48.5,51.94,47.7,51.94,47.22,4.72,10.0,150045,750297.327,互联网
17,002323.SZ,*ST雅博,3,20150122,26.57,26.57,24.4,26.57,24.15,2.42,10.02,89924,235070.9157,建筑工程
18,002066.SZ,瑞泰科技,3,20150122,13.0,13.71,12.81,13.71,12.46,1.25,10.03,443150,596005.3977,其他建材
19,300292.SZ,吴通控股,2,20150123,24.15,25.0,24.0,25.0,22.73,2.27,9.99,181354,448123.0776,软件服务
20,300178.SZ,腾邦国际,2,20150126,31.66,33.17,30.5,33.17,30.15,3.02,10.02,130863,419859.3912,旅游服务
21,000166.SZ,申万宏源,2,20150126,17.77,21.1,16.37,19.65,14.88,4.77,32.06,12259278,23755591.0396,证券
22,000810.SZ,创维数字,2,20150126,19.8,21.74,19.76,21.74,19.76,1.98,10.02,54548,113412.4342,家用电器
23,000797.SZ,中国武夷,2,20150126,14.9,15.1,14.4,15.1,13.73,1.37,9.98,151320,227363.2167,全国地产
24,600676.SH,交运股份,2,20150126,9.78,10.76,9.69,10.76,9.78,0.98,10.02,687859,697434.992,公共交通
25,603555.SH,*ST贵人,2,20150127,26.17,27.12,25.6,27.12,24.65,2.47,10.02,309187,824800.756,服饰
26,002437.SZ,誉衡药业,2,20150127,27.0,28.74,26.13,28.74,26.13,2.61,9.99,473884,1300704.4845,化学制药
27,000498.SZ,山东路桥,2,20150128,6.0,6.5,5.85,6.5,5.91,0.59,9.98,944354,598051.1887,建筑工程
28,002740.SZ,爱迪尔,2,20150130,42.0,42.03,39.88,42.03,38.21,3.82,10.0,96910,401579.7916,服饰
29,000626.SZ,远大控股,2,20150130,22.9,24.55,22.8,24.55,22.32,2.23,9.99,157720,377183.0945,商贸代理
30,000626.SZ,远大控股,3,20150202,25.49,27.01,24.91,27.01,24.55,2.46,10.02,114022,302003.7677,商贸代理
31,002047.SZ,宝鹰股份,2,20150203,6.88,7.18,6.75,7.18,6.53,0.65,9.95,567624,399887.5846,装修装饰
32,601021.SH,春秋航空,2,20150203,58.0,61.68,57.52,61.68,56.07,5.61,10.01,230722,1374358.914,空运
33,300399.SZ,天利科技,2,20150203,81.0,86.91,80.99,86.91,79.01,7.9,10.0,41293,352561.5439,互联网
34,300399.SZ,天利科技,3,20150204,92.0,95.6,91.27,95.6,86.91,8.69,10.0,14678,138218.2928,互联网
35,002095.SZ,生意宝,3,20150205,65.0,69.08,63.83,69.08,62.8,6.28,10.0,72125,483222.4842,互联网
36,600652.SH,ST游久,2,20150206,7.51,8.31,7.41,8.31,7.55,0.76,10.07,1029185,824952.233,互联网
37,002577.SZ,雷柏科技,2,20150206,37.42,39.2,37.15,39.2,35.64,3.56,9.99,178903,692052.4928,IT设备
38,002308.SZ,威创股份,2,20150206,10.88,10.99,10.64,10.99,9.99,1.0,10.01,428479,468683.3354,IT设备
39,002469.SZ,三维工程,2,20150206,18.39,18.39,18.39,18.39,16.72,1.67,9.99,128957,237153.7252,建筑工程
40,002469.SZ,三维工程,3,20150209,19.01,20.23,18.31,20.23,18.39,1.84,10.01,435481,850628.517,建筑工程
41,300033.SZ,同花顺,2,20150211,67.8,71.36,67.15,71.36,64.87,6.49,10.0,95771,670770.0309,软件服务
42,603601.SH,再升科技,2,20150211,35.53,36.54,35.5,36.54,33.22,3.32,9.99,18666,67010.149,玻璃
43,002467.SZ,二六三,2,20150211,16.75,18.1,16.61,18.1,16.45,1.65,10.03,678621,1198067.0727,电信运营
44,300364.SZ,中文在线,2,20150211,41.0,41.0,41.0,41.0,37.27,3.73,10.01,5445,22324.705,出版业
45,600998.SH,九州通,2,20150211,22.19,23.64,22.1,23.64,21.49,2.15,10.0,685030,1583775.99,医药商业
46,002095.SZ,生意宝,2,20150211,77.1,79.62,76.12,79.62,72.38,7.24,10.0,139240,1097331.5837,互联网
47,300033.SZ,同花顺,3,20150212,78.5,78.5,74.92,78.5,71.36,7.14,10.01,260464,2025715.7005,软件服务
48,300364.SZ,中文在线,3,20150212,45.1,45.1,45.1,45.1,41.0,4.1,10.0,1118,5042.18,出版业
49,300364.SZ,中文在线,4,20150213,47.9,49.61,46.85,49.61,45.1,4.51,10.0,101737,495097.4421,出版业
50,000910.SZ,大亚圣象,2,20150216,11.1,12.09,10.66,12.09,10.99,1.1,10.01,537958,620681.6097,家居用品
51,002594.SZ,比亚迪,2,20150216,43.86,45.84,43.58,45.84,41.67,4.17,10.01,377527,1698779.3094,汽车整车
52,002074.SZ,国轩高科,2,20150216,23.15,24.48,23.13,24.48,22.25,2.23,10.02,83525,201187.7016,电气设备
53,000156.SZ,华数传媒,2,20150216,34.0,36.85,33.03,36.85,33.5,3.35,10.0,178712,650035.3481,影视音像
54,600831.SH,广电网络,2,20150216,12.8,13.74,12.8,13.74,12.49,1.25,10.01,764378,1027041.954,影视音像
55,600767.SH,ST运盛,2,20150216,15.88,15.88,15.66,15.88,14.44,1.44,9.97,185047,293827.17,医疗保健
56,000626.SZ,远大控股,4,20150217,29.3,29.71,28.01,29.71,27.01,2.7,10.0,50222,147614.9538,商贸代理
57,000626.SZ,远大控股,5,20150225,32.68,32.68,30.44,32.68,29.71,2.97,10.0,115824,372748.0051,商贸代理
58,600528.SH,中铁工业,2,20150226,18.34,20.21,17.73,20.21,18.37,1.84,10.02,1762297,3373629.344,运输设备
59,300315.SZ,掌趣科技,2,20150226,20.4,23.18,20.01,23.18,21.07,2.11,10.01,1283504,2834938.2349,互联网
60,300364.SZ,中文在线,5,20150227,54.57,54.57,52.01,54.57,49.61,4.96,10.0,87603,475651.235,出版业
61,300364.SZ,中文在线,6,20150302,57.78,60.03,57.3,60.03,54.57,5.46,10.01,53716,316587.3935,出版业
62,300364.SZ,中文在线,7,20150303,66.03,66.03,64.88,66.03,60.03,6.0,10.0,24900,164358.7366,出版业
63,300364.SZ,中文在线,8,20150304,72.63,72.63,71.0,72.63,66.03,6.6,10.0,23033,166837.1185,出版业
64,000626.SZ,远大控股,5,20150305,51.17,51.18,47.58,51.18,46.53,4.65,9.99,200521,1010690.813,商贸代理
65,000722.SZ,湖南发展,2,20150306,11.4,12.2,11.4,12.2,11.09,1.11,10.01,340473,409426.1384,水力发电
66,300278.SZ,华昌达,2,20150306,28.7,31.02,28.2,31.02,28.2,2.82,10.0,134228,399022.8498,专用机械
67,300071.SZ,华谊嘉信,2,20150306,17.91,17.91,17.91,17.91,16.28,1.63,10.01,4623,8280.7243,广告包装
68,600306.SH,*ST商城,2,20150306,13.54,14.05,13.29,14.05,12.77,1.28,10.02,224362,313331.892,百货
69,002684.SZ,ST猛狮,2,20150309,19.8,20.47,19.26,20.47,18.61,1.86,9.99,125497,254514.2592,电气设备
70,600599.SH,*ST熊猫,2,20150309,34.88,36.71,34.48,36.71,33.37,3.34,10.01,135666,487117.6,多元金融
71,600318.SH,新力金融,2,20150309,34.82,36.51,33.1,36.51,33.19,3.32,10.0,244545,866911.512,多元金融
72,300240.SZ,飞力达,2,20150309,16.65,18.68,16.65,18.68,16.98,1.7,10.01,153170,276047.3413,仓储物流
73,002314.SZ,南山控股,2,20150310,6.39,6.94,6.22,6.94,6.31,0.63,9.98,472906,308480.496,区域地产
74,300170.SZ,汉得信息,2,20150310,28.8,31.0,28.44,31.0,28.18,2.82,10.01,347052,1030521.5764,软件服务
75,300383.SZ,光环新网,2,20150310,66.8,71.38,66.8,71.38,64.89,6.49,10.0,75888,531310.8705,电信运营
76,300081.SZ,恒信东方,2,20150310,37.27,37.27,36.22,37.27,33.88,3.39,10.01,47999,178676.4605,文教休闲
77,000609.SZ,中迪投资,2,20150310,17.5,18.46,17.15,18.46,16.78,1.68,10.01,210477,376530.6191,区域地产
