,ts_code,name,limit_amount,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,industry,profits,sum
0,600227.SH,圣济堂,4,20150105,6.67,6.69,6.6,6.69,6.08,0.61,10.03,292808,195411.42899999997,化学制药,,
1,300268.SZ,佳沃股份,4,20150107,13.32,13.32,13.32,13.32,12.11,1.21,9.99,9942,13243.5698,农业综合,8.83,8.83
2,601880.SH,大连港,2,20150109,5.34,5.72,5.22,5.72,5.2,0.52,10.0,3234698,1788539.054,港口,-9.62,-0.7899999999999991
3,300244.SZ,迪安诊断,2,20150112,47.0,53.15,46.6,53.15,48.32,4.83,10.0,74879,374381.3493,医疗保健,-5.74,-6.529999999999999
4,002738.SZ,中矿资源,2,20150113,21.46,23.38,20.61,23.38,21.25,2.13,10.02,117931,261423.7715,小金属,29.96,23.43
5,002738.SZ,中矿资源,3,20150114,24.5,25.72,24.03,25.72,23.38,2.34,10.01,96134,241820.7562,小金属,19.54,42.97
6,002738.SZ,中矿资源,4,20150115,26.6,28.29,26.36,28.29,25.72,2.57,9.99,113100,312623.2696,小金属,5.02,47.989999999999995
7,002738.SZ,中矿资源,5,20150116,30.21,31.12,30.14,31.12,28.29,2.83,10.0,56305,173884.4616,小金属,18.43,66.41999999999999
8,002738.SZ,中矿资源,6,20150119,33.33,34.23,30.5,34.23,31.12,3.11,9.99,169655,560273.0343,小金属,17.46,83.88
9,002738.SZ,中矿资源,7,20150120,33.6,37.65,33.58,37.65,34.23,3.42,9.99,94650,344109.9416,小金属,,
10,300292.SZ,吴通控股,2,20150123,24.15,25.0,24.0,25.0,22.73,2.27,9.99,181354,448123.0776,软件服务,-3.47,80.41
11,000498.SZ,山东路桥,2,20150128,6.0,6.5,5.85,6.5,5.91,0.59,9.98,944354,598051.1887,建筑工程,-4.69,75.72
12,000626.SZ,远大控股,3,20150202,25.49,27.01,24.91,27.01,24.55,2.46,10.02,114022,302003.7677,商贸代理,6.19,81.91
13,300399.SZ,天利科技,3,20150204,92.0,95.6,91.27,95.6,86.91,8.69,10.0,14678,138218.2928,互联网,-7.87,74.03999999999999
14,002095.SZ,生意宝,3,20150205,65.0,69.08,63.83,69.08,62.8,6.28,10.0,72125,483222.4842,互联网,-11.49,62.54999999999999
15,002469.SZ,三维工程,3,20150209,19.01,20.23,18.31,20.23,18.39,1.84,10.01,435481,850628.517,建筑工程,-6.26,56.28999999999999
16,300364.SZ,中文在线,4,20150213,47.9,49.61,46.85,49.61,45.1,4.51,10.0,101737,495097.4421,出版业,,
17,000626.SZ,远大控股,4,20150217,29.3,29.71,28.01,29.71,27.01,2.7,10.0,50222,147614.9538,商贸代理,,
18,000626.SZ,远大控股,5,20150225,32.68,32.68,30.44,32.68,29.71,2.97,10.0,115824,372748.0051,商贸代理,48.41,104.69999999999999
19,300364.SZ,中文在线,5,20150227,54.57,54.57,52.01,54.57,49.61,4.96,10.0,87603,475651.235,出版业,32.12,136.82
20,300364.SZ,中文在线,6,20150302,57.78,60.03,57.3,60.03,54.57,5.46,10.01,53716,316587.3935,出版业,,
21,300364.SZ,中文在线,7,20150303,66.03,66.03,64.88,66.03,60.03,6.0,10.0,24900,164358.7366,出版业,,
22,300364.SZ,中文在线,8,20150304,72.63,72.63,71.0,72.63,66.03,6.6,10.0,23033,166837.1185,出版业,,
23,000626.SZ,远大控股,5,20150305,51.17,51.18,47.58,51.18,46.53,4.65,9.99,200521,1010690.813,商贸代理,-5.06,131.76
24,300081.SZ,恒信东方,3,20150311,41.0,41.0,40.76,41.0,37.27,3.73,10.01,65713,269414.347,文教休闲,20.09,151.85
25,600119.SH,ST长投,2,20150312,20.0,21.16,19.91,21.16,19.24,1.92,9.98,192048,397162.154,仓储物流,16.3,168.15
26,600119.SH,ST长投,3,20150313,23.0,23.28,21.51,23.28,21.16,2.12,10.02,868035,1968483.4540000001,仓储物流,16.25,184.4
27,600119.SH,ST长投,4,20150316,23.01,25.61,23.01,25.61,23.28,2.33,10.01,546250,1330862.7140000002,仓储物流,-5.72,178.68
28,600095.SH,湘财股份,4,20150317,12.4,13.15,12.35,13.15,11.95,1.2,10.04,397745,517319.465,证券,-10.85,167.83
29,002093.SZ,国脉科技,4,20150320,12.0,12.68,11.88,12.68,11.53,1.15,9.97,904857,1121645.2142,电信运营,-3.69,164.14000000000001
30,300299.SZ,富春股份,4,20150326,24.8,25.05,23.51,25.05,22.77,2.28,10.01,205948,508057.7511,互联网,-2.86,161.28
31,000514.SZ,渝开发,4,20150327,9.43,9.43,9.43,9.43,8.57,0.86,10.04,11766,11095.7341,区域地产,-2.34,158.94
32,603030.SH,全筑股份,4,20150401,29.83,30.42,29.51,30.42,27.65,2.77,10.02,38426,115422.76699999999,装修装饰,,
